ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3288,80,80,88000,240,10.25,TN,534,OO,Fix
3289,90,90,160199,360,8.875,CO,523,OO,ARM
3290,80,80,52000,240,7.95,TX,602,OO,ARM
3291,80,100,476000,360,7.25,CA,639,OO,ARM
3292,80,100,424000,360,8.25,CA,639,OO,ARM
3293,57.27,57.27,67000,360,8.95,OH,507,OO,Fix
3294,75,75,300000,360,7.5,NJ,584,OO,ARM
3295,84.81,84.81,134000,360,9.75,AL,555,OO,ARM
3296,80,100,268000,360,7.45,FL,669,OO,ARM
3297,70,70,79100,360,11.8,MI,526,OO,ARM
3298,80,100,212000,360,6.95,FL,703,OO,ARM
3299,80,100,284000,480,7.6,FL,621,OO,ARM
3300,90,90,305991,480,7.75,CA,682,IO,ARM
3301,80,100,452000,360,7.8,CA,622,OO,ARM
3302,53.56,53.56,158000,180,7.9,CA,612,OO,Fix
3303,20,100,63841,360,11.99,CA,655,OO,Fix
3304,80,80,62000,360,9.7,MI,522,OO,ARM
3305,90,90,85500,360,8.9,TX,640,IO,ARM
3306,88.49,88.49,198741,360,7.125,FL,697,OO,Fix
3307,95,95,251750,360,9.2,MA,650,OO,ARM
3308,80,80,70400,480,9.3,MI,562,OO,ARM
3309,80,100,127920,360,7.95,IL,627,OO,ARM
3310,95,95,66500,360,9.85,IL,623,OO,ARM
3311,78.26,78.26,360000,480,8.7,NY,609,OO,ARM
3312,79.83,79.83,190000,360,9.85,NY,520,OO,Fix
3313,93.62,93.62,264000,480,7.22,MD,589,OO,ARM
3314,90,95,54450,360,10.6,MO,619,OO,ARM
3315,90,90,155700,360,8.3,LA,569,OO,ARM
3316,90,90,512131,360,7.775,FL,557,OO,ARM
3317,80,100,120000,480,8.08,MN,601,OO,ARM
3318,90,90,286410,180,6.25,PA,733,OO,Fix
3319,80,100,431200,360,6.05,FL,605,OO,ARM
3320,37.5,37.5,150000,360,7.7,FL,566,OO,ARM
3321,90,90,130500,480,9.4,OK,607,IO,ARM
3322,90,90,50400,360,10.7,TX,552,OO,ARM
3323,85,85,419050,360,8.625,MN,564,OO,ARM
3324,85,85,148750,480,8.4,CO,536,OO,ARM
3325,85,85,307700,480,7.35,CA,632,OO,ARM
3326,80,100,92400,360,8.65,OK,605,OO,ARM
3327,80,100,296000,360,7.99,CA,603,OO,ARM
3328,94.74,94.74,162000,360,7.9,IA,640,OO,Fix
3329,90,90,243000,480,8.25,FL,588,OO,Fix
3330,85,85,556750,480,8.35,CA,576,OO,ARM
3331,95,95,273600,480,7.99,MN,618,OO,ARM
3332,90,100,111510,480,9,GA,568,OO,ARM
3333,85,85,501500,480,8.795,NY,557,OO,Fix
3334,95,95,65075,360,9.925,IN,581,OO,Fix
3335,80.95,80.95,170000,360,7.3,NJ,658,OO,ARM
3336,85,85,148750,360,8.05,IL,624,OO,Fix
3337,92.88,92.88,166250,480,9.65,MI,617,OO,ARM
3338,80.86,80.86,113200,360,8.3,WI,637,OO,Fix
3339,80,100,428696,360,7.55,CA,609,OO,ARM
3340,82.97,82.97,114500,360,8.35,TN,576,OO,ARM
3341,85,85,204000,360,8.9,AZ,677,IO,ARM
3342,66.67,66.67,200000,360,8.6,FL,544,OO,ARM
3343,80,100,208000,480,7.75,CA,658,OO,ARM
3344,80,100,392000,360,8.5,FL,645,OO,ARM
3345,90,90,269100,480,9.7,MA,591,OO,ARM
3346,80,80,200000,360,9.8,NH,526,OO,ARM
3347,90,90,86400,360,9.95,KY,535,OO,ARM
3348,90,90,265500,480,7.99,CA,604,OO,ARM
3349,80,100,308000,360,7.75,CA,657,OO,ARM
3350,80,100,187200,360,7.99,FL,616,OO,ARM
3351,72.64,72.64,430000,180,7.875,NY,544,OO,Fix
3352,80,100,620000,480,7.25,CA,623,OO,ARM
3353,90,90,469800,360,8.5,IL,604,OO,ARM
3354,90,100,157500,360,10.55,SC,620,IO,Fix
3355,90,100,96300,360,10.5,OK,561,OO,ARM
3356,90,90,281621,360,8.4,MD,654,OO,Fix
3357,85,85,227800,480,8.05,IL,556,OO,ARM
3358,100,100,224000,360,9.6,CO,624,OO,ARM
3359,78.57,78.57,330000,480,8.5,NY,514,OO,ARM
3360,80,80,260000,360,6.75,HI,678,IO,ARM
3361,80,100,136000,360,8.05,MI,658,OO,ARM
3362,90.64,90.64,184000,360,7.5,WY,650,OO,Fix
3363,90,90,121500,360,9.8,WI,557,OO,ARM
3364,76.79,76.79,322500,360,7.6,MD,600,OO,Fix
3365,89.85,89.85,266400,480,7.9,NJ,611,OO,ARM
3366,75,75,168750,360,8.875,WA,506,OO,ARM
3367,95,95,102125,360,10.4,TX,604,OO,ARM
3368,80,80,135920,360,8.15,KY,675,IO,ARM
3369,90,90,172800,360,8.837,FL,621,OO,Fix
3370,86.86,86.86,456000,360,7.15,FL,670,OO,Fix
3371,95,95,166250,360,9.25,MI,525,OO,ARM
3372,80,100,469200,360,8.7,CA,666,OO,ARM
